,Rd,Tt,g,ma,ms,dms
0,0.02184072265625,0.7947311875,0.9,0.01,1,0.09999999999999998
1,0.0471592109375,0.17036703125,0.9,0.01,10,0.9999999999999998
2,0.224597046875,0.01008307421875,0.9,0.01,50,4.999999999999999
3,0.45602734375,0.00185075,0.9,0.01,120,11.999999999999996
4,0.5737099375,0.0009623790893554687,0.9,0.01,180,17.999999999999996
5,0.6035376875,0.0007612261352539062,0.9,0.01,200,19.999999999999996
6,0.0185574765625,0.7252909375,0.9,0.1,1,0.09999999999999998
7,0.0440583671875,0.154527078125,0.9,0.1,10,0.9999999999999998
8,0.21512346875,0.0085599296875,0.9,0.1,50,4.999999999999999
9,0.4383425625,0.001482510498046875,0.9,0.1,120,11.999999999999996
10,0.550751125,0.0006810078735351563,0.9,0.1,180,17.999999999999996
11,0.580564625,0.00050715234375,0.9,0.1,200,19.999999999999996
12,0.0099161171875,0.4817121875,0.9,0.5,1,0.09999999999999998
13,0.0344601953125,0.09872828125,0.9,0.5,10,0.9999999999999998
14,0.180792609375,0.0045526552734375,0.9,0.5,50,4.999999999999999
15,0.373552125,0.0005616271362304687,0.9,0.5,120,11.999999999999996
16,0.4734834375,0.00017502919006347656,0.9,0.5,180,17.999999999999996
17,0.49874859375,0.0001469039611816406,0.9,0.5,200,19.999999999999996
18,0.00496327880859375,0.2904056875,0.9,1.0,1,0.09999999999999998
19,0.027567595703125,0.05765765234375,0.9,1.0,10,0.9999999999999998
20,0.149755953125,0.002260073974609375,0.9,1.0,50,4.999999999999999
21,0.3144701875,0.00018005255126953126,0.9,1.0,120,11.999999999999996
22,0.40380596875,4.0284351348876956e-05,0.9,1.0,180,17.999999999999996
23,0.42611703125,2.9805997848510743e-05,0.9,1.0,200,19.999999999999996
24,0.002076046630859375,0.104934296875,0.9,2.0,1,0.09999999999999998
25,0.019011828125,0.019650166015625,0.9,2.0,10,0.9999999999999998
26,0.1077257109375,0.0005034080505371093,0.9,2.0,50,4.999999999999999
27,0.235383828125,2.089463996887207e-05,0.9,2.0,120,11.999999999999996
28,0.31059171875,3.0240757465362547e-06,0.9,2.0,180,17.999999999999996
29,0.33023971875,1.9216995239257814e-06,0.9,2.0,200,19.999999999999996
30,0.019760529296875,0.829065875,0.92,0.01,1,0.07999999999999996
31,0.03951276953125,0.2190774375,0.92,0.01,10,0.7999999999999996
32,0.1796679375,0.015474203125,0.92,0.01,50,3.9999999999999982
33,0.39041625,0.002991003173828125,0.92,0.01,120,9.599999999999994
34,0.50913925,0.0013237353515625,0.92,0.01,180,14.399999999999993
35,0.540122375,0.00109831982421875,0.92,0.01,200,15.999999999999993
36,0.017112947265625,0.755525875,0.92,0.1,1,0.07999999999999996
37,0.03684687890625,0.19836509375,0.92,0.1,10,0.7999999999999996
38,0.1721545,0.0133981875,0.92,0.1,50,3.9999999999999982
39,0.374550625,0.002272227783203125,0.92,0.1,120,9.599999999999994
40,0.49076246875,0.00102776416015625,0.92,0.1,180,14.399999999999993
41,0.51862446875,0.000822474609375,0.92,0.1,200,15.999999999999993
42,0.00890115625,0.5022884375,0.92,0.5,1,0.07999999999999996
43,0.02789109375,0.12888553125,0.92,0.5,10,0.7999999999999996
44,0.145108078125,0.00744819921875,0.92,0.5,50,3.9999999999999982
45,0.3182389375,0.0009055550537109376,0.92,0.5,120,9.599999999999994
46,0.417970375,0.000326703125,0.92,0.5,180,14.399999999999993
47,0.4436564375,0.00026570159912109374,0.92,0.5,200,15.999999999999993
48,0.00440150634765625,0.302955,0.92,1.0,1,0.07999999999999996
49,0.02151072265625,0.0750870859375,0.92,1.0,10,0.7999999999999996
50,0.11795884375,0.003772633544921875,0.92,1.0,50,3.9999999999999982
51,0.2669170625,0.00033732363891601563,0.92,1.0,120,9.599999999999994
52,0.3534891875,0.00010113922882080078,0.92,1.0,180,14.399999999999993
53,0.3779715625,6.410601043701171e-05,0.92,1.0,200,15.999999999999993
54,0.001658526123046875,0.1095477265625,0.92,2.0,1,0.07999999999999996
55,0.0144355732421875,0.0260030234375,0.92,2.0,10,0.7999999999999996
56,0.0848145234375,0.0009915309448242187,0.92,2.0,50,3.9999999999999982
57,0.19718609375,5.299302291870117e-05,0.92,2.0,120,9.599999999999994
58,0.26827759375,1.0869412422180175e-05,0.92,2.0,180,14.399999999999993
59,0.28790915625,6.416921138763428e-06,0.92,2.0,200,15.999999999999993
60,0.01918754296875,0.8454640625,0.93,0.01,1,0.06999999999999995
61,0.03680601171875,0.253447578125,0.93,0.01,10,0.6999999999999995
62,0.1575539375,0.019906306640625,0.93,0.01,50,3.4999999999999973
63,0.35167528125,0.00368392822265625,0.93,0.01,120,8.399999999999995
64,0.46847575,0.00172075048828125,0.93,0.01,180,12.59999999999999
65,0.50071903125,0.00140018603515625,0.93,0.01,200,13.99999999999999
66,0.0160042314453125,0.7714624375,0.93,0.1,1,0.06999999999999995
67,0.03337257421875,0.22740825,0.93,0.1,10,0.6999999999999995
68,0.149605140625,0.01766987890625,0.93,0.1,50,3.4999999999999973
69,0.337882375,0.00310822705078125,0.93,0.1,120,8.399999999999995
70,0.450378375,0.00133931982421875,0.93,0.1,180,12.59999999999999
71,0.4811030625,0.0010749439697265626,0.93,0.1,200,13.99999999999999
72,0.00816870556640625,0.51287178125,0.93,0.5,1,0.06999999999999995
73,0.024851806640625,0.148800984375,0.93,0.5,10,0.6999999999999995
74,0.124928421875,0.01021624609375,0.93,0.5,50,3.4999999999999973
75,0.2855935,0.001337262451171875,0.93,0.5,120,8.399999999999995
76,0.38612959375,0.0004723783264160156,0.93,0.5,180,12.59999999999999
77,0.4119806875,0.0003859044189453125,0.93,0.5,200,13.99999999999999
78,0.0040358779296875,0.30824846875,0.93,1.0,1,0.06999999999999995
79,0.019064724609375,0.0869577890625,0.93,1.0,10,0.6999999999999995
80,0.1018898984375,0.0051178291015625,0.93,1.0,50,3.4999999999999973
81,0.23931378125,0.0005154041748046874,0.93,1.0,120,8.399999999999995
82,0.32440634375,0.00015143795776367187,0.93,1.0,180,12.59999999999999
83,0.3469316875,0.00010070580291748047,0.93,1.0,200,13.99999999999999
84,0.001490663818359375,0.11220196875,0.93,2.0,1,0.06999999999999995
85,0.0125449130859375,0.03011669921875,0.93,2.0,10,0.6999999999999995
86,0.0733543203125,0.001383169921875,0.93,2.0,50,3.4999999999999973
87,0.176051453125,9.097510528564453e-05,0.93,2.0,120,8.399999999999995
88,0.24378253125,2.030617904663086e-05,0.93,2.0,180,12.59999999999999
89,0.26407615625,1.173770809173584e-05,0.93,2.0,200,13.99999999999999
90,0.0163665576171875,0.8822633125,0.95,0.01,1,0.050000000000000044
91,0.03393564453125,0.3406201875,0.95,0.01,10,0.5000000000000004
92,0.10849378125,0.03707575,0.95,0.01,50,2.500000000000002
93,0.26400571875,0.00691019140625,0.95,0.01,120,6.000000000000005
94,0.3715081875,0.0031357900390625,0.95,0.01,180,9.000000000000007
95,0.4000285625,0.002638490966796875,0.95,0.01,200,10.000000000000009
96,0.01363668359375,0.8057920625,0.95,0.1,1,0.050000000000000044
