,Rd,Tt,g,ma,ms,thickness,dms,c0,c1,r2,abs,c0_tt,c1_tt,r2_tt
0,0.254565296875,0.7181461875,0.9,0.01,50,0.16,4.999999999999999,-3.7150303951172416,0.36735414317025955,0.9975106755631014,-6.437751649736401,-3.5487493182653487,0.27924548981106,0.9933319597651756
1,0.306223375,0.6655379375,0.9,0.01,50,0.2,4.999999999999999,-3.3089473183410743,0.3631092274472409,0.999375336905145,-6.214608098422191,-3.305582455642346,0.3679162840680316,0.997041408139776
2,0.409926125,0.5593376875,0.9,0.01,50,0.3,4.999999999999999,-2.70275214588146,0.3247294178833332,0.9987309227839722,-5.809142990314028,-2.719864981748624,0.3487820036714796,0.9978818135947948
3,0.42816365625,0.544026,0.9,0.01,100,0.16,9.999999999999998,-4.944279371271197,0.8105399658724285,0.9972422853709513,-6.437751649736401,-5.010255944077903,0.8363312849124477,0.992690341130932
4,0.4893218125,0.481835875,0.9,0.01,100,0.2,9.999999999999998,-4.426473044303611,0.7826062992542167,0.999307027177005,-6.214608098422191,-4.303164550314288,0.7113352794663316,0.9968325033931296
5,0.5936766875,0.3749391875,0.9,0.01,100,0.3,9.999999999999998,-3.536270197026679,0.6525188238188676,0.9984470779326905,-5.809142990314028,-3.358547628394634,0.5328310682629371,0.9983215642951572
6,0.478402375,0.49366209375,0.9,0.01,120,0.16,11.999999999999996,-5.2392696510840295,0.8761342288371872,0.9975589607498183,-6.437751649736401,-5.159945697995824,0.8152663057233405,0.9926089099882864
7,0.5384165625,0.43263678125,0.9,0.01,120,0.2,11.999999999999996,-4.741373115065822,0.8536566392367292,0.998884697717221,-6.214608098422191,-4.5810147881061845,0.7695760810763781,0.9953593516445389
8,0.6378825625,0.33060709375,0.9,0.01,120,0.3,11.999999999999996,-3.767300389938751,0.7064269913477768,0.9984343430320503,-5.809142990314028,-3.577460728151256,0.5794193141068209,0.9977919451672603
9,0.585801375,0.38608315625,0.9,0.01,180,0.16,17.999999999999996,-6.22678275253915,1.0711099495279124,0.9813698403638123,-6.437751649736401,-6.1996909315001725,1.052916423040983,0.9880636141927132
10,0.6386315625,0.33222090625,0.9,0.01,180,0.2,17.999999999999996,-5.2786770711913205,0.9131182955835582,0.9963850566493555,-6.214608098422191,-5.175730326936093,0.8426294788759695,0.9932670839624316
11,0.723973,0.244341390625,0.9,0.01,180,0.3,17.999999999999996,-4.145907898406602,0.7369580476063295,0.9968932451351,-5.809142990314028,-3.8232539334759066,0.5208648686262063,0.9975649009651375
12,0.6128309375,0.3590163125,0.9,0.01,200,0.16,19.999999999999996,-6.551136959383482,1.1477216480365122,0.9908443942501488,-6.437751649736401,-6.310092094418072,1.026441005206866,0.9830884921694043
13,0.6639685,0.3068530625,0.9,0.01,200,0.2,19.999999999999996,-5.481558747655836,0.9456929770504716,0.9971432533470305,-6.214608098422191,-5.433295944220496,0.9097055083291635,0.9934946526075865
14,0.74431425,0.22395228125,0.9,0.01,200,0.3,19.999999999999996,-4.25934942937583,0.7437622477902119,0.9975444209388069,-5.809142990314028,-3.9606096585932145,0.537620765409518,0.9953989496395145
15,0.24597734375,0.7010731875,0.9,0.1,50,0.16,4.999999999999999,-3.7289321684512857,0.34836999567449817,0.9975209706123398,-4.135166556742356,-3.6661901301059094,0.3069710289828923,0.9968239927979756
16,0.29383425,0.644143,0.9,0.1,50,0.2,4.999999999999999,-3.364768717441936,0.3586575148675604,0.9990815838170151,-3.912023005428146,-3.395294787405184,0.3729343611560748,0.9974044733016043
