,Rd,Tt,g,ma,ms,dms
0,0.01607028515625,0.8884681875,0.9,0.01,1,0.09999999999999998
1,0.0937844453125,0.33610571875,0.9,0.01,10,0.9999999999999998
2,0.398034125,0.061256234375,0.9,0.01,50,4.999999999999999
3,0.64761625,0.0256985625,0.9,0.01,120,11.999999999999996
4,0.7433130625,0.017282935546875,0.9,0.01,180,17.999999999999996
5,0.763156375,0.0155231328125,0.9,0.01,200,19.999999999999996
6,0.0143651689453125,0.8102188125,0.9,0.1,1,0.09999999999999998
7,0.086325625,0.30301190625,0.9,0.1,10,0.9999999999999998
8,0.368753,0.05035351171875,0.9,0.1,50,4.999999999999999
9,0.6026735625,0.01765594921875,0.9,0.1,120,11.999999999999996
10,0.69185075,0.010367837890625,0.9,0.1,180,17.999999999999996
11,0.711117125,0.0090722333984375,0.9,0.1,200,19.999999999999996
12,0.0086899072265625,0.5393353125,0.9,0.5,1,0.09999999999999998
13,0.0601674921875,0.191208203125,0.9,0.5,10,0.9999999999999998
14,0.27512140625,0.021841375,0.9,0.5,50,4.999999999999999
15,0.4631556875,0.00453034521484375,0.9,0.5,120,11.999999999999996
16,0.5446590625,0.001708409423828125,0.9,0.5,180,17.999999999999996
17,0.56249425,0.0012988485107421875,0.9,0.5,200,19.999999999999996
18,0.0052274677734375,0.324096,0.9,1.0,1,0.09999999999999998
19,0.042355109375,0.107230515625,0.9,1.0,10,0.9999999999999998
20,0.20447009375,0.00877977734375,0.9,1.0,50,4.999999999999999
21,0.3643753125,0.0010571795654296876,0.9,1.0,120,11.999999999999996
22,0.44025771875,0.00029097003173828126,0.9,1.0,180,17.999999999999996
23,0.45872340625,0.00018817295837402344,0.9,1.0,200,19.999999999999996
24,0.002759510498046875,0.117099,0.9,2.0,1,0.09999999999999998
25,0.024605078125,0.0347617109375,0.9,2.0,10,0.9999999999999998
26,0.1293303203125,0.001685022705078125,0.9,2.0,50,4.999999999999999
27,0.254994703125,9.58691635131836e-05,0.9,2.0,120,11.999999999999996
28,0.32381290625,1.469060230255127e-05,0.9,2.0,180,17.999999999999996
29,0.34170603125,8.724657058715821e-06,0.9,2.0,200,19.999999999999996
30,0.014231390625,0.906737375,0.92,0.01,1,0.07999999999999996
31,0.075826,0.40781784375,0.92,0.01,10,0.7999999999999996
32,0.33514078125,0.07697,0.92,0.01,50,3.9999999999999982
33,0.587972,0.031931654296875,0.92,0.01,120,9.599999999999994
34,0.6938625,0.02127176953125,0.92,0.01,180,14.399999999999993
35,0.718164,0.019074177734375,0.92,0.01,200,15.999999999999993
36,0.01251242578125,0.8279586875,0.92,0.1,1,0.07999999999999996
37,0.068769359375,0.368201375,0.92,0.1,10,0.7999999999999996
38,0.31034734375,0.064254671875,0.92,0.1,50,3.9999999999999982
39,0.5464968125,0.023277921875,0.92,0.1,120,9.599999999999994
40,0.645422125,0.0141525068359375,0.92,0.1,180,14.399999999999993
41,0.6683328125,0.012117388671875,0.92,0.1,200,15.999999999999993
42,0.0072740400390625,0.5514118125,0.92,0.5,1,0.07999999999999996
43,0.04806945703125,0.23441275,0.92,0.5,10,0.7999999999999996
44,0.229396703125,0.030649259765625,0.92,0.5,50,3.9999999999999982
45,0.416401125,0.00696958251953125,0.92,0.5,120,9.599999999999994
46,0.50158296875,0.002922594482421875,0.92,0.5,180,14.399999999999993
47,0.52243490625,0.0022709912109375,0.92,0.5,200,15.999999999999993
48,0.00437260693359375,0.33133653125,0.92,1.0,1,0.07999999999999996
49,0.03322458203125,0.13441921875,0.92,1.0,10,0.7999999999999996
50,0.168382390625,0.0135309775390625,0.92,1.0,50,3.9999999999999982
51,0.32172390625,0.0019852471923828127,0.92,1.0,120,9.599999999999994
52,0.39872115625,0.0006056652221679687,0.92,1.0,180,14.399999999999993
53,0.41770378125,0.00043112307739257813,0.92,1.0,200,15.999999999999993
54,0.00224687109375,0.120324734375,0.92,2.0,1,0.07999999999999996
55,0.01883648828125,0.044056421875,0.92,2.0,10,0.7999999999999996
56,0.1039994140625,0.002892274169921875,0.92,2.0,50,3.9999999999999982
57,0.2192169375,0.00022728842163085937,0.92,2.0,120,9.599999999999994
58,0.28591525,4.476565170288086e-05,0.92,2.0,180,14.399999999999993
59,0.30369496875,2.7024290084838868e-05,0.92,2.0,200,15.999999999999993
60,0.01285567578125,0.916819875,0.93,0.01,1,0.06999999999999995
61,0.066910671875,0.452384625,0.93,0.01,10,0.6999999999999995
62,0.29934846875,0.0879348046875,0.93,0.01,50,3.4999999999999973
63,0.549454875,0.0364548984375,0.93,0.01,120,8.399999999999995
64,0.6610523125,0.02443266796875,0.93,0.01,180,12.59999999999999
65,0.687281875,0.0218947890625,0.93,0.01,200,13.99999999999999
66,0.011471869140625,0.8364655,0.93,0.1,1,0.06999999999999995
67,0.0610955703125,0.40813559375,0.93,0.1,10,0.6999999999999995
68,0.27800990625,0.0751651484375,0.93,0.1,50,3.4999999999999973
69,0.5110294375,0.02712696484375,0.93,0.1,120,8.399999999999995
70,0.6144990625,0.0167874765625,0.93,0.1,180,12.59999999999999
71,0.6378669375,0.01475351171875,0.93,0.1,200,13.99999999999999
72,0.0066624189453125,0.5579509375,0.93,0.5,1,0.06999999999999995
73,0.04208909765625,0.2624815625,0.93,0.5,10,0.6999999999999995
74,0.203689765625,0.038138359375,0.93,0.5,50,3.4999999999999973
75,0.38716109375,0.0091103662109375,0.93,0.5,120,8.399999999999995
76,0.47478890625,0.003952698974609375,0.93,0.5,180,12.59999999999999
77,0.49536590625,0.003168941162109375,0.93,0.5,200,13.99999999999999
78,0.003817285888671875,0.33654871875,0.93,1.0,1,0.06999999999999995
79,0.028475353515625,0.15037521875,0.93,1.0,10,0.6999999999999995
80,0.14937703125,0.016824341796875,0.93,1.0,50,3.4999999999999973
81,0.29685646875,0.002773639892578125,0.93,1.0,120,8.399999999999995
82,0.37342090625,0.0009338043212890625,0.93,1.0,180,12.59999999999999
83,0.3938428125,0.000666718505859375,0.93,1.0,200,13.99999999999999
84,0.0019725057373046876,0.122340734375,0.93,2.0,1,0.06999999999999995
85,0.01641786328125,0.050321109375,0.93,2.0,10,0.6999999999999995
86,0.090733984375,0.003949003662109375,0.93,2.0,50,3.4999999999999973
87,0.19809078125,0.0003736787109375,0.93,2.0,120,8.399999999999995
88,0.262756375,7.696310424804687e-05,0.93,2.0,180,12.59999999999999
89,0.2810279375,4.957281494140625e-05,0.93,2.0,200,13.99999999999999
90,0.0106008740234375,0.935195875,0.95,0.01,1,0.050000000000000044
91,0.050467,0.5624445625,0.95,0.01,10,0.5000000000000004
92,0.219938875,0.12490840625,0.95,0.01,50,2.500000000000002
93,0.45107903125,0.05078216796875,0.95,0.01,120,6.000000000000005
94,0.57059675,0.0339404140625,0.95,0.01,180,9.000000000000007
95,0.6015949375,0.030655865234375,0.95,0.01,200,10.000000000000009
96,0.009375369140625,0.8540825,0.95,0.1,1,0.050000000000000044
97,0.04545784765625,0.5090605,0.95,0.1,10,0.5000000000000004
98,0.20332,0.1079424140625,0.95,0.1,50,2.500000000000002
99,0.41827921875,0.0402918671875,0.95,0.1,120,6.000000000000005
100,0.529185375,0.02493983984375,0.95,0.1,180,9.000000000000007
101,0.556346375,0.022449470703125,0.95,0.1,200,10.000000000000009
102,0.0051516904296875,0.571002375,0.95,0.5,1,0.050000000000000044
103,0.03015946484375,0.330802125,0.95,0.5,10,0.5000000000000004
104,0.147103625,0.05984753515625,0.95,0.5,50,2.500000000000002
105,0.3133859375,0.0161930888671875,0.95,0.5,120,6.000000000000005
106,0.40236784375,0.007890955078125,0.95,0.5,180,9.000000000000007
107,0.42654296875,0.006504177734375,0.95,0.5,200,10.000000000000009
108,0.00289325146484375,0.34466928125,0.95,1.0,1,0.050000000000000044
109,0.02017676953125,0.19315065625,0.95,1.0,10,0.5000000000000004
110,0.1059136953125,0.0295046484375,0.95,1.0,50,2.500000000000002
111,0.234781203125,0.005914046875,0.95,1.0,120,6.000000000000005
112,0.30959578125,0.002323382568359375,0.95,1.0,180,9.000000000000007
113,0.32912671875,0.0017331995849609375,0.95,1.0,200,10.000000000000009
114,0.001419736083984375,0.1258954921875,0.95,2.0,1,0.050000000000000044
115,0.0113584599609375,0.066176265625,0.95,2.0,10,0.5000000000000004
116,0.06351085546875,0.00777848681640625,0.95,2.0,50,2.500000000000002
117,0.151044421875,0.0010173487548828125,0.95,2.0,120,6.000000000000005
118,0.20814734375,0.00027593356323242187,0.95,2.0,180,9.000000000000007
119,0.225094640625,0.00019686178588867187,0.95,2.0,200,10.000000000000009
