Angle,Rd,Tt
0.008333333333333333,0.02304215630801867,0.7504643821141824
0.025,0.024813031349914222,0.6992514965536616
0.041666666666666664,0.02581406757016931,0.6245193162673995
0.05833333333333333,0.026031097184362664,0.5263394366846085
0.075,0.026162750806431427,0.4431524456370553
0.09166666666666666,0.026972130761866147,0.3681567085844265
0.10833333333333332,0.026253107179219817,0.3063186926688749
0.125,0.026836605165501345,0.25974036418974367
0.14166666666666666,0.026586006256894824,0.2198611106263394
0.15833333333333333,0.024560959881425544,0.16556476738624792
0.175,0.023543452457338077,0.1357419780418804
0.19166666666666665,0.023361384876784456,0.11848777544178953
0.20833333333333331,0.02482304435686995,0.10849206854348512
0.225,0.025742237115148538,0.09955721492857947
0.24166666666666667,0.025506811865120976,0.0909792344511078
0.2583333333333333,0.027860189801247087,0.08496984768973183
0.275,0.027195162723657327,0.07835933134075307
0.29166666666666663,0.028123714101191667,0.07262167672949026
0.3083333333333333,0.02782063602827393,0.06536789234633147
0.325,0.024419721408598816,0.05208569327183101
0.3416666666666666,0.021245214714394545,0.042192693721271254
0.35833333333333334,0.0086851505697705,0.015944215371787713
0.375,0.0006097336695371282,0.0012094403323440657
0.3916666666666666,0.0005231211174510813,0.0008855338714907886
0.4083333333333333,0.000342835755024517,0.0006188214788815866
0.425,0.0002228782388531639,0.0004415428791728379
0.4416666666666666,0.00018558128144443493,0.0001704252166347884
0.4583333333333333,0.00019067874980571988,0.00012901602503491687
0.475,4.7912512999433465e-05,5.505976901944694e-05
0.49166666666666664,1.1034674710740242e-05,0.0
