z cm,n_1,n_1.37
0.7875,0.84228515625,1.1103515625
0.7925,0.826171875,1.08984375
0.7975,0.81396484375,1.076171875
0.8025,0.8232421875,1.0712890625
0.8075,0.806640625,1.05859375
0.8125,0.8017578125,1.0458984375
0.8175,0.787109375,1.0400390625
0.8225,0.78369140625,0.99951171875
0.8275,0.76025390625,1.0009765625
0.8325,0.75927734375,0.97998046875
0.8375,0.74609375,0.97607421875
0.8425,0.7431640625,0.970703125
0.8475,0.7236328125,0.96484375
0.8525,0.72119140625,0.958984375
0.8575,0.7080078125,0.95458984375
0.8625,0.689453125,0.9404296875
0.8675,0.68896484375,0.91845703125
0.8725,0.6787109375,0.90087890625
0.8775000000000001,0.66796875,0.888671875
0.8825000000000001,0.6591796875,0.89453125
0.8875000000000001,0.6591796875,0.86767578125
0.8925000000000001,0.6416015625,0.87158203125
0.8975,0.630859375,0.861328125
0.9025,0.62548828125,0.859375
0.9075,0.6123046875,0.841796875
0.9125,0.6025390625,0.84375
0.9175,0.60205078125,0.8291015625
0.9225,0.607421875,0.8154296875
0.9275,0.60546875,0.7958984375
0.9325,0.59033203125,0.8037109375
0.9375,0.59033203125,0.79296875
0.9425,0.576171875,0.77734375
0.9475,0.57861328125,0.775390625
0.9525,0.56201171875,0.76708984375
0.9575,0.5634765625,0.7578125
0.9625,0.552734375,0.75244140625
0.9675,0.5478515625,0.7431640625
0.9725,0.5390625,0.73291015625
0.9775,0.53076171875,0.712890625
0.9825,0.5283203125,0.72314453125
0.9875,0.52880859375,0.7109375
0.9925,0.51025390625,0.6953125
0.9975,0.5009765625,0.681640625
