Angle,Rd,Tt
0.008333333333333333,0.01633861533509733,0.7428031823049323
0.025,0.02008764079356669,0.682900951564055
0.041666666666666664,0.0178620918936505,0.6115448483329847
0.05833333333333333,0.02063367858991249,0.5240325844548227
0.075,0.020984092265673125,0.4375059797890491
0.09166666666666666,0.02025031513518323,0.35821420578369334
0.10833333333333332,0.020409194210878397,0.29655458941533286
0.125,0.020439053440796388,0.2507881019386131
0.14166666666666666,0.020725971140161975,0.21036302299846998
0.15833333333333333,0.020257150425029537,0.18018827377053923
0.175,0.021259398057185047,0.155315477620145
0.19166666666666665,0.02050235571493391,0.13290694861947092
0.20833333333333331,0.020602316556235536,0.11573535861989813
0.225,0.021531226516383457,0.10194252114105304
0.24166666666666667,0.021070048404505014,0.08959517181766267
0.2583333333333333,0.020433269381386673,0.07968752600521238
0.275,0.02048168536223292,0.07002784463238158
0.29166666666666663,0.02028377317815766,0.06093161924674078
0.3083333333333333,0.020394301968787235,0.05333080938567398
0.325,0.01887132265722423,0.04759646013530312
0.3416666666666666,0.01853116205001552,0.04106239118625932
0.35833333333333334,0.01748603461233639,0.035268776345697216
0.375,0.016195558128598422,0.029921993916348217
0.3916666666666666,0.01471745468508123,0.024504399503454507
0.4083333333333333,0.012534172791281923,0.020112768684360342
0.425,0.010487749839358214,0.01529042573415852
0.4416666666666666,0.008187929000367796,0.011225671368824498
0.4583333333333333,0.0058648923413981546,0.007176143765563645
0.475,0.0032523519609755597,0.0035949470874664406
0.49166666666666664,0.0010169048608758824,0.0011672613033292707
